path,artifactId,packaging,parentArtifactId,parentRelativePath,modules,dependencies,dependencyManagement
component/message-component/pom.xml,message-component,pom,component,../pom.xml,7,0,4
component/observability-component/observability-api/pom.xml,observability-api,jar,observability-component,../pom.xml,0,0,0
component/observability-component/observability-core/pom.xml,observability-core,jar,observability-component,../pom.xml,0,2,0
component/observability-component/observability-demo-app/pom.xml,observability-demo-app,jar,observability-component,../pom.xml,0,3,0
component/observability-component/observability-otel/pom.xml,observability-otel,jar,observability-component,../pom.xml,0,4,0
component/observability-component/observability-starter/pom.xml,observability-starter,jar,observability-component,../pom.xml,0,9,0
component/observability-component/pom.xml,observability-component,pom,component,../pom.xml,5,0,1
component/pom.xml,component,pom,cola-web-standard-parent,../pom.xml,9,0,0
component/retry-component/pom.xml,retry-component,pom,component,../pom.xml,4,0,1
component/retry-component/retry-api/pom.xml,retry-api,jar,retry-component,../pom.xml,0,1,0
component/retry-component/retry-config/pom.xml,retry-config,jar,retry-component,../pom.xml,0,5,0
component/retry-component/retry-core/pom.xml,retry-core,jar,retry-component,../pom.xml,0,2,0
component/retry-component/retry-demo/pom.xml,retry-demo,jar,retry-component,../pom.xml,0,4,0
domain/pom.xml,domain,jar,cola-web-standard-parent,../pom.xml,0,8,1
infrastructure/pom.xml,infrastructure,jar,cola-web-standard-parent,../pom.xml,0,6,0
pom.xml,cola-web-standard-parent,pom,,,7,0,12
start/pom.xml,start,jar,cola-web-standard-parent,../pom.xml,0,11,1
